Agencia,Produto,Sentido,Volume,Data_chegada,Porto
FERTIMPORT S/A.,MILHO A GRANEL,Exp,71500.0,09/09/2025 17:00:00,Santos
WILLIAMS SERVICOS MARITIMOS LTDA.,SOJA A GRANEL,Exp,70759.0,10/09/2025 08:10:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,Exp,70000.0,10/09/2025 13:48:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,SOJA A GRANEL,Exp,66000.0,11/09/2025 00:42:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,Exp,65000.0,11/09/2025 10:12:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,Exp,65000.0,11/09/2025 16:30:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,Exp,21850.0,12/09/2025 05:05:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,Exp,67500.0,14/09/2025,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,Exp,70510.0,14/09/2025,Santos
ROCHAMAR AGENCIA MARITIMA S/A,SOJA A GRANEL,Exp,63000.0,14/09/2025,Santos
WAYPOINT AGENCIA MARITIMA LTDA,SOJA A GRANEL,Exp,55000.0,14/09/2025,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,Exp,67500.0,14/09/2025,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,SOJA A GRANEL,Exp,70450.0,14/09/2025,Santos
